Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
02 JAN 2026,ALKYLAMINE,EQ,ALKYL AMINES CHEM. LTD   ,Listed    ,02 JAN 2026,               2.00,          51143977,           1607.10,    82193485436.70
02 JAN 2026,ALLCARGO,EQ,ALLCARGO LOGISTICS LTD   ,Listed    ,02 JAN 2026,               2.00,         982782096,             11.45,    11243027178.25  
02 JAN 2026,ALLDIGI,EQ,ALLDIGI TECH LIMITED     ,Listed    ,02 JAN 2026,              10.00,          15238326,            836.95,    12753716945.70   
02 JAN 2026,ALLETEC,SM,ALL E TECHNOLOGIES LTD   ,Listed    ,02 JAN 2026,              10.00,          20194176,            219.30,     4428582796.80   
02 JAN 2026,ALLTIME,EQ,ALL TIME PLASTICS LIMITED,Listed    ,02 JAN 2026,               2.00,          65507778,            263.35,    17251473336.30   
02 JAN 2026,ALMONDZ,EQ,ALMONDZ GLOBAL SEC LTD   ,Listed    ,02 JAN 2026,               1.00,         173646754,             18.70,     3243721364.70   
02 JAN 2026,ALOKINDS,EQ,ALOK INDUSTRIES LIMITED  ,Listed    ,02 JAN 2026,               1.00,        4965240401,             16.25,    80734808920.25  
02 JAN 2026,ALPA,EQ,ALPA LABORATORIES LTD    ,Listed    ,02 JAN 2026,              10.00,          21040600,             78.05,     1642008424.00      
02 JAN 2026,ALPEXSOLAR,SM,ALPEX SOLAR LIMITED      ,Listed    ,02 JAN 2026,              10.00,          25543000,            825.30,    21080637900.00
02 JAN 2026,ALPHAGEO,EQ,ALPHAGEO (INDIA) LIMITED ,Listed    ,02 JAN 2026,              10.00,           6364767,            229.65,     1461605093.90  
02 JAN 2026,ALUWIND,SM,ALUWIND INFRA-TECH LTD   ,Listed    ,02 JAN 2026,              10.00,          24847420,             69.35,     1723168577.00   
02 JAN 2026,AMANTA,EQ,AMANTA HEALTHCARE LIMITED,Listed    ,02 JAN 2026,              10.00,          38829351,            109.75,     4261132978.75    
02 JAN 2026,AMBANIORGO,SM,AMBANI ORGOCHEM LIMITED  ,Listed    ,23 DEC 2025,              10.00,           7658659,             99.75,      763951235.25
02 JAN 2026,AMBER,EQ,AMBER ENTERPRISES (I) LTD,Listed    ,02 JAN 2026,              10.00,          35172042,           6482.50,   228002762265.00     
02 JAN 2026,AMBEY,SM,AMBEY LABORATORIES LTD   ,Listed    ,01 JAN 2026,              10.00,          24946819,             43.50,     1085186626.50     
02 JAN 2026,AMBICAAGAR,EQ,AMBICA AGAR & AROMAINDLTD,Listed    ,02 JAN 2026,              10.00,          17177400,             25.50,      438023700.00
02 JAN 2026,AMBIKCO,EQ,AMBIKA COTTON MILL LTD.  ,Listed    ,02 JAN 2026,              10.00,           5725000,           1247.20,     7140220000.00   
02 JAN 2026,AMBUJACEM,EQ,AMBUJA CEMENTS LTD       ,Listed    ,02 JAN 2026,               2.00,        2471823478,            565.40,  1397568994461.20 
02 JAN 2026,AMCL,ST,ANB METAL CAST LIMITED   ,Listed    ,02 JAN 2026,              10.00,          11834780,            358.00,     4236851240.00      
02 JAN 2026,AMDIND,EQ,AMD INDUSTRIES LIMITED   ,Listed    ,02 JAN 2026,              10.00,          19166749,             47.30,      906395560.20    
02 JAN 2026,AMEYA,SM,AMEYA PRECISION ENG LTD  ,Listed    ,02 JAN 2026,              10.00,           7500000,            102.00,      765000000.00     
02 JAN 2026,AMIABLE,SM,AMIABLE LOGISTICS (I) LTD,Listed    ,01 JAN 2026,              10.00,           1748200,             98.50,      172197700.00   
02 JAN 2026,AMJLAND,EQ,AMJ LAND HOLDINGS LIMITED,Listed    ,02 JAN 2026,               2.00,          41000000,             51.35,     2106170000.00   
02 JAN 2026,AMJUMBO,SM,A AND M JUMBO BAGS LTD   ,Listed    ,02 JAN 2026,              10.00,          10500000,             10.00,      105000000.00   
02 JAN 2026,AMNPLST,EQ,AMINES & PLASTICIZERS LTD,Listed    ,02 JAN 2026,               2.00,          55020000,            192.35,    10581996600.00   
02 JAN 2026,AMRUTANJAN,EQ,AMRUTAJAN HEALTH LTD     ,Listed    ,02 JAN 2026,               1.00,          28910630,            672.75,    19449626332.50
02 JAN 2026,ANANDRATHI,EQ,ANAND RATHI WEALTH LTD   ,Listed    ,02 JAN 2026,               5.00,          83020634,           3079.40,   255653740339.60
02 JAN 2026,ANANTAM,IV,ANANTAM HIGHWAYS TRUST   ,Listed    ,02 JAN 2026,             100.00,         217500000,            104.00,    22615650000.00   
02 JAN 2026,ANANTRAJ,EQ,ANANT RAJ LIMITED        ,Listed    ,02 JAN 2026,               2.00,         359876930,            584.05,   210186120966.50  
02 JAN 2026,ANDHRAPAP,EQ,ANDHRA PAPER LIMITED     ,Listed    ,02 JAN 2026,               2.00,         198850195,             67.45,    13412445652.75 
02 JAN 2026,ANDHRSUGAR,EQ,ANDHRA SUGARS LTD        ,Listed    ,02 JAN 2026,               2.00,         135535390,             76.00,    10297978932.20
02 JAN 2026,ANGELONE,EQ,ANGEL ONE LIMITED        ,Listed    ,02 JAN 2026,              10.00,          90839339,           2387.90,   216915257598.10  
02 JAN 2026,ANIKINDS,EQ,ANIK INDUSTRIES LTD      ,Listed    ,02 JAN 2026,              10.00,          27753486,             51.80,     1437630574.80  
02 JAN 2026,ANKITMETAL,BZ,ANKIT MET & POW LTD      ,Listed    ,02 JAN 2026,              10.00,         141110500,              1.75,      246943375.00
02 JAN 2026,ANLON,SM,ANLON TECHNOLOGY SOL LTD ,Listed    ,02 JAN 2026,              10.00,           6255400,            396.95,     2483081030.00     
02 JAN 2026,ANMOL,EQ,ANMOL INDIA LIMITED      ,Listed    ,02 JAN 2026,              10.00,          56914150,             14.25,      811595779.00     
02 JAN 2026,ANNAPURNA,SM,ANNAPURNA SWADISHT LTD   ,Listed    ,02 JAN 2026,              10.00,          21820000,            194.30,     4239626000.00 
02 JAN 2026,ANONDITA,ST,ANONDITA MEDICARE LIMITED,Listed    ,02 JAN 2026,              10.00,          18086618,           1012.25,    18308179070.50  
02 JAN 2026,ANSALAPI,BZ,ANSAL PROP & INFRA LTD   ,Listed    ,02 JAN 2026,               5.00,         157404876,              3.35,      524158237.10  
02 JAN 2026,ANTGRAPHIC,EQ,ANTARCTICA LTD           ,Listed    ,02 JAN 2026,               1.00,         155009600,              1.05,      161209984.00
02 JAN 2026,ANTHEM,EQ,ANTHEM BIOSCIENCES LTD   ,Listed    ,02 JAN 2026,               2.00,         561610051,            654.45,   367545697876.95    
02 JAN 2026,ANUHPHR,EQ,ANUH PHARMA LIMITED      ,Listed    ,02 JAN 2026,               5.00,         100224000,             80.20,     8037964800.00   
02 JAN 2026,ANUP,EQ,THE ANUP ENGINEERING LTD ,Listed    ,02 JAN 2026,              10.00,          20031466,           2256.40,    45198999882.40      
02 JAN 2026,ANURAS,EQ,ANUPAM RASAYAN INDIA LTD ,Listed    ,02 JAN 2026,              10.00,         113848310,           1325.30,   150883165243.00    
02 JAN 2026,ANYA,SM,ANYA POLYTECH & FERTI LTD,Listed    ,31 DEC 2025,               2.00,         120000000,             20.55,     2466000000.00      
02 JAN 2026,ANZEN,IV,ANZEN IND ENE YLD PLU TRU,Listed    ,02 JAN 2026,             100.00,         196193900,            116.00,    22758492400.00     
02 JAN 2026,APARINDS,EQ,APAR INDUSTRIES LTD.     ,Listed    ,02 JAN 2026,              10.00,          40168315,           8264.50,   331971039317.50  
