MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,SBINEQWETF,SBIAMC - SBINEQWETF,        33.73,        33.73,        34.07,        33.73,        33.96,                  2861512.14,84132,261,        34.41,        27.30,NIFTY50 EQUAL WEIGHT
N,EQ,SBISILVER,SBIAMC - SBISILVER,       220.27,       225.26,       227.86,       223.77,       227.61,                874711855.04,3861452,16347,       249.40,        85.26,SBI SILVER ETF
N,EQ,SDL26BEES,RELCAPAMC-NETFSDL26,       135.14,       135.97,       135.97,       134.58,       135.38,                  2094761.85,15474,82,       143.99,       124.95,NIFTY SDL APR 2026 TOP 20 EQUAL WEIGHT INDEX
N,EQ,SELECTIPO,MIRAEAMC - SELECTIPO,        45.89,        45.86,        46.45,        45.63,        46.40,                  2130543.08,46212,110,        57.75,        35.40,BSE SELECT IPO INDEX
N,EQ,SENSEXADD,DSPAMC - DSPSENXETF,        87.36,        87.30,        87.94,        87.20,        87.88,                   280574.13,3202,34,        88.20,        72.00,DSP S&P BSE SENSEX ETF
N,EQ,SENSEXBETA,UTIAMC-SENSEXBETA,       938.00,       938.36,       945.02,       938.00,       941.29,                  1222923.96,1300,100,       952.91,       779.95,SENSEX
N,EQ,SENSEXETF,MIRAEAMC - SENSEXETF,        87.36,        87.38,        87.80,        87.25,        87.75,                  2022874.60,23095,183,        88.30,        72.01,MIRAE ASSET S&P BSE SENSEX ETF
N,EQ,SENSEXIETF,ICICI PRUD SENSEX ETF,       974.57,       979.44,       979.44,       974.01,       978.75,                 16591710.07,16969,2614,       999.84,       812.04,SENSEX
N,EQ,SETF10GILT,SBIAMC - SETF10GILT,       259.16,       265.63,       265.63,       258.33,       259.82,                 17643835.29,68097,136,       265.63,       241.01,NIFTY 10 YR BENCHMARK G-SEC INDEX
N,EQ,SETFGOLD,SBI-ETF GOLD,       114.00,       116.85,       116.85,       114.34,       115.53,               1106942408.23,9615893,15429,       119.66,        64.96,GOLD
N,EQ,SETFNIF50,SBI-ETF NIFTY 50,       279.28,       272.29,       281.25,       272.29,       281.21,                249183398.99,887758,6927,       286.41,       227.33,NIFTY 50
N,EQ,SETFNIFBK,SBI-ETF NIFTY BANK,       610.42,       612.10,       616.37,       612.00,       614.83,                 27887823.21,45348,437,       625.74,       465.64,NIFTY BANK
N,EQ,SETFNN50,SBI-ETF NIFTY NEXT 50,       741.86,       760.40,       760.40,       738.28,       748.62,                 28105783.05,37655,1540,       766.90,       585.51,NIFTY NEXT 50
