GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,A B INFRABUILD LIMITED,        18.71,        17.82,4.99
G,TEMBO GLOBAL IND LTD,       607.75,       578.85,4.99
G,NATIONAL ALUMINIUM CO LTD,       330.30,       314.60,4.99
G,DIGJAM LTD,        55.34,        52.71,4.99
G,MADHAV COPPER LIMITED,        78.91,        75.16,4.99
G,JTEKT INDIA LIMITED,       148.16,       141.12,4.99
G,PALRED TECHNOLOGIES LTD,        47.15,        44.91,4.99
G,MANGALAM DRUG & CHEM LTD,        30.32,        28.88,4.99
G,EXIM ROUTES LIMITED,       160.35,       152.75,4.98
G,SIDDHIKA COATINGS LIMITED,       208.00,       198.15,4.97
G,PENTAGON RUBBER LIMITED,        69.80,        66.50,4.96
G,MEDICAMEN ORGANICS LTD,        26.45,        25.20,4.96
G,MEGA FLEX PLASTICS LTD,       127.20,       121.20,4.95
G,CESC LTD,       175.37,       167.10,4.95
G,HRH NEXT SERVICES LIMITED,        29.85,        28.45,4.92
G,ARVIND PORT AND INFRA LTD,        41.60,        39.65,4.92
G,TEAMO PRODUCTIONS HQ LTD,         0.64,         0.61,4.92
G,CONCORD ENVIRO SYSTEMS L,       471.65,       449.55,4.92
G,CADSYS (INDIA) LIMITED,        52.35,        49.90,4.91
G,MANAV INFRA PROJECTS LTD,        30.00,        28.60,4.90
G,SURANA SOLAR LIMITED,        27.87,        26.57,4.89
G,TRUCAP FINANCE LIMITED,         8.38,         7.99,4.88
G,MCON RASAYAN INDIA LTD,        63.40,        60.45,4.88
G,ROLEX RINGS LIMITED,       134.23,       127.99,4.88
G,INDIAN HUME PIPE CO. LTD.,       423.80,       404.10,4.88
G,BELLA CASA FASH AND RET L,       379.50,       361.90,4.86
G,NAVKAR URBANSTRUCTURE LTD,         1.73,         1.65,4.85
G,SHRIRAM PIST. & RING LTD,      3297.20,      3144.80,4.85
G,CARE RATINGS LIMITED,      1688.50,      1610.50,4.84
G,EDELWEISS FIN SERV LTD,       113.92,       108.66,4.84
G,TATVA CHIN PHARM CHEM LTD,      1388.80,      1324.70,4.84
G,PREMIER EXPLOSIVES LTD,       542.20,       517.20,4.83
G,JAMNA AUTO IND LTD,       132.57,       126.52,4.78
G,ADVENT HOTELS INTERNATI L,       235.53,       224.81,4.77
G,GP ECO SOLUTIONS INDIA L,       433.40,       413.70,4.76
G,VILIN BIO MED LIMITED,        20.90,        19.95,4.76
G,FIEM INDUSTRIES LIMITED,      2334.30,      2228.30,4.76
G,SHUBHLAXMI JEWEL ART LTD,        37.50,        35.80,4.75
G,DANGEE DUMS LIMITED,         3.75,         3.58,4.75
G,SIGNORIA CREATION LIMITED,        95.00,        90.70,4.74
G,JKUMAR INFR.LTD.,       602.20,       574.95,4.74
G,SUBROS LIMITED,       902.65,       861.90,4.73
G,REMSONS INDUSTRIES LTD,       126.32,       120.62,4.73
G,SENORES PHARMACEUTICALS L,       865.30,       826.45,4.70
G,TRANSWARRANTY FIN. LTD.,        16.10,        15.38,4.68
G,APTECH LIMITED,        94.02,        89.82,4.68
G,SDL AP 7.71% 2037,        99.18,        94.76,4.66
G,GE POWER INDIA LIMITED,       340.00,       324.85,4.66
G,AUTOMOTIVE AXLES LIMITED,      1969.20,      1881.60,4.66
G,TIRUPATI FORGE LIMITED,        36.27,        34.66,4.65
G,GNA AXLES LIMITED,       317.70,       303.75,4.59
G,REVATHI EQUIPMENT INDIA L,       734.20,       702.00,4.59
G,SUNLITE RECYCLING IND LTD,       340.25,       325.35,4.58
G,GAYATRI RUBB AND CHEM LTD,       385.00,       368.15,4.58
G,DABUR INDIA LTD,       522.60,       499.95,4.53
G,FELIX INDUSTRIES LTD.,       178.05,       170.35,4.52
G,ASPIRE & INNOVATIVE ADV L,        16.20,        15.50,4.52
G,SHREEJI GLOBAL FMCG LTD,       119.35,       114.20,4.51
G,VELS FILM INTERNATIONAL L,        58.00,        55.50,4.50
G,ASHAPURA MINECHEM LTD,       901.00,       862.30,4.49
G,MUNJAL AUTO IND. LTD.,        83.42,        79.85,4.47
G,URAVI DEFENCE &TECH LTD,       188.99,       180.93,4.45
G,RBM INFRACON LIMITED,       434.25,       415.75,4.45
G,CRAYONS ADVERTISING LTD,        40.00,        38.30,4.44
G,GURUNANAK AGRICULTUR IN L,        34.25,        32.80,4.42
G,TECHNO ELEC & ENG CO. LTD,      1111.30,      1064.40,4.41
G,SRI LOTUS DEVLPRS N RTY L,       166.36,       159.36,4.39
G,AJMERA REALTY & INF I LTD,      1001.75,       959.60,4.39
G,SDL GJ 7.63% 2033,       104.15,        99.77,4.39
G,MOSCHIP TECHNOLOGIES LTD,       211.05,       202.19,4.38
G,SYLVAN PLYBOARD (INDIA) L,        62.00,        59.40,4.38
G,TBI CORN LIMITED,        90.85,        87.05,4.37
G,SAT KARTAR SHOPPING LTD,       148.65,       142.45,4.35
G,INSPIRE FILMS LIMITED,        10.85,        10.40,4.33
G,UJJIVAN SMALL FINANC BANK,        55.71,        53.40,4.33
G,RANE (MADRAS) LIMITED,       844.20,       809.25,4.32
G,MANORAMA INDUSTRIES LTD,      1390.80,      1333.30,4.31
G,FIDEL SOFTECH LIMITED,       138.00,       132.30,4.31
G,ANLON HEALTHCARE LIMITED,       154.70,       148.32,4.30
G,TIME TECHNOPLAST LTD.,       196.48,       188.42,4.28
G,SHANKAR LAL RAMPAL LTD,        67.29,        64.53,4.28
G,SHAH ALLOYS LIMITED,        71.68,        68.74,4.28
G,SHIVAM AUTO.LTD,        24.66,        23.65,4.27
G,DCM NOUVELLE LIMITED,       139.37,       133.67,4.26
G,SIRCA PAINT INDIA LIMITED,       503.65,       483.15,4.24
G,DEV INFO TECHNOLOGY LTD,        35.65,        34.20,4.24
G,INOX WIND LIMITED,       128.04,       122.85,4.22
G,ELECON ENG. CO. LTD,       501.00,       480.70,4.22
G,RADIOWALLA NETWORK LTD,        63.00,        60.45,4.22
G,AARON INDUSTRIES LIMITED,       176.50,       169.43,4.17
G,GUJ. APOLLO IND. LTD.,       430.95,       413.70,4.17
G,JAIN RESOURCE RECYCLING L,       422.25,       405.40,4.16
