MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,CHETANA,CHETANA EDUCATION LIMITED,        53.60,        53.50,        54.60,        53.50,        54.55,                   260240.00,4800, ,       129.00,        50.05
N,SM,CLASSICEIL,CLASSIC ELECTRODE (IND) L,        75.00,        77.50,        77.50,        77.50,        77.50,                   248000.00,3200, ,       113.90,        66.00
N,SM,CSSL,CLEAR SECURED SERVICES L,       120.05,       119.00,       122.00,       117.00,       120.80,                  5801800.00,48000, ,       128.80,        96.75
N,SM,COMMITTED,COMMITTED CARGO CARE LTD,       195.75,       203.40,       203.40,       203.40,       203.40,                   162720.00,800, ,       274.05,       134.55
N,SM,CONNPLEX,CONNPLEX CINEMAS LIMITED,       274.90,       273.00,       275.00,       269.00,       273.80,                 28666320.00,104800, ,       292.70,       177.00
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        23.40,        22.25,        22.25,        22.25,        22.25,                   148318.50,6666, ,        41.60,        19.30
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,        70.75,        69.10,        71.35,        69.00,        70.50,                  2522312.50,36250, ,       931.00,        67.25
N,SM,CRAYONS,CRAYONS ADVERTISING LTD,        37.15,        38.80,        41.00,        38.80,        39.10,                  1303150.00,32000, ,       104.00,        36.75
N,SM,CGRAPHICS,CREATIVE GRAPHICS S IND L,       199.00,       198.05,       198.30,       196.00,       198.00,                  1416720.00,7200, ,       259.00,       134.40
N,SM,CLSL,CROP LIFE SCIENCE LIMITED,        47.00,        46.00,        49.90,        46.00,        49.90,                   878400.00,18000, ,        62.80,        42.25
N,SM,CURIS,CURIS LIFESCIENCES LTD,       119.35,       119.90,       123.00,       119.90,       122.40,                  2426400.00,20000, ,       147.90,       107.00
N,SM,DANISH,DANISH POWER LIMITED,       644.95,       645.00,       655.05,       644.90,       653.15,                 11470830.00,17700, ,      1237.80,       599.95
N,SM,DCCL,DAR CREDIT & CAPITAL LTD,        45.90,        45.00,        46.00,        45.00,        45.00,                   993600.00,22000, ,        66.00,        44.00
N,SM,DCG,DCG CABLES & WIRES LTD,        66.00,        67.90,        67.90,        64.15,        67.45,                   633060.00,9600, ,       122.50,        55.00
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       156.65,       156.05,       158.20,       151.00,       158.20,                  1578300.00,10200, ,       374.80,       132.00
N,SM,DECCANTRAN,DECCAN TRANSCON LEASING L,        24.90,        24.75,        24.80,        23.30,        23.85,                   257340.00,10800, ,        67.50,        22.20
N,SM,DEEM,DEEM ROLL TECH LIMITED,        58.95,        61.85,        61.85,        50.60,        51.80,                  1504950.00,27000, ,        89.45,        38.35
N,SM,DELAPLEX,DELAPLEX LIMITED,       128.90,       127.20,       130.80,       127.20,       129.20,                  1859370.00,14400, ,       248.00,       126.00
N,SM,DELTIC,DELTA AUTOCORP LIMITED,        50.45,        50.00,        50.00,        48.20,        49.10,                   342600.00,7000, ,       183.75,        43.00
N,SM,DESTINY,DESTINY LOGISTICS & I LTD,       118.25,       112.35,       112.35,       112.35,       112.35,                   337050.00,3000, ,       175.00,        67.80
N,SM,DHANLAXMI,DHANLAXMI CROP SCIENCE L,        30.35,        30.00,        30.00,        30.00,        30.00,                   120000.00,4000, ,        82.30,        25.05
